Group,Sub-group,Brand,Products,P/M,Logo,Comment,Updated,Barcode,Guideline-Product
Alcohol,Liqueurs,Giffard,Caramel Toffee,P,,Products must be “Product of France ”,NO DATE,,Product
Alcohol,Liqueurs,Giffard,Agave Sec,P,,Products must be “Product of France ”,NO DATE,,Product
Alcohol,Liqueurs,Giffard,Abricot,P,,Products must be “Product of France ”,NO DATE,,Product
Alcohol,Liqueurs,Giffard,Abricot du Roussillon,NK,,Products must be “Product of France ”,NO DATE,,Product
Alcohol,Liqueurs,Giffard,Giddard Cassis Noir de Bourgogne,P,,Products must be “Product of France ”,NO DATE,,Product
Alcohol,Liqueurs,Giffard,Creme Banane,P,,Products must be “Product of France ”,NO DATE,,Product
Alcohol,Liqueurs,Giffard,Cherry – NOT KOSHER,NK,,Products must be “Product of France ”,NO DATE,,Product
Alcohol,Liqueurs,Giffard,Crème Cacao Blanc,P,,Products must be “Product of France ”,NO DATE,,Product
Alcohol,Liqueurs,Giffard,Creme Framboise,P,,Products must be “Product of France ”,NO DATE,,Product
Alcohol,Liqueurs,Giffard,Creme Fraises des Bois,P,,Products must be “Product of France ”,NO DATE,,Product
Alcohol,Liqueurs,Giffard,Creme Chataigne,P,,Products must be “Product of France ”,NO DATE,,Product
Alcohol,Liqueurs,Giffard,Creme Menthe,P,,Products must be “Product of France ”,NO DATE,,Product
Alcohol,Liqueurs,Giffard,Creme Cerise,P,,Products must be “Product of France ”,NO DATE,,Product
Alcohol,Liqueurs,Giffard,Creme Cassis d’Anjou,P,,Products must be “Product of France ”,NO DATE,,Product
Alcohol,Liqueurs,Glayva,Scotch Whisky Liqueur,P,,,NO DATE,,Product
Alcohol,Liqueurs,Glenfiddich,Whisky Liqueur,P,,,NO DATE,,Product
Alcohol,Liqueurs,Godiva,White Chocolate - Must have hechsher.,D,,,NO DATE,,Product
Alcohol,Liqueurs,Godiva,Caramel Milk Chocolate - Must have OU hechsher.,D,,,NO DATE,,Product
Alcohol,Liqueurs,Godiva,Chocolate Liqueur - Must have OU hechsher.,D,,,NO DATE,,Product
Alcohol,Liqueurs,Godiva,Cappuccino - Must have OU hechsher.,D,,,NO DATE,,Product
Alcohol,Liqueurs,Grand Marnier,NOT KOSHER,NK,,,NO DATE,,Product
Alcohol,Liqueurs,Heering,Cherry,P,,,NO DATE,,Product
Alcohol,Liqueurs,Heering,Coffee,P,,,NO DATE,,Product
